sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,0.0,0.0,0.0,0.0,1411,4444,4620,0
1,0.0,0.0,0.0,0.0,993,1411,409,0
2,0.0,0.0,0.0,0.0,1044,993,194,0
3,0.0,0.0,0.0,0.0,788,1044,26,0
4,0.0,0.0,0.0,0.0,351,788,44,0
5,0.0,0.0,0.0,0.0,267,351,46,0
6,0.0,0.0,0.0,0.0,303,267,61,0
7,0.0,0.0,0.0,0.0,611,303,761,0
8,0.0,0.0,0.0,0.0,963,611,734,0
9,0.0,0.0,0.0,0.0,1001,963,113,0
10,0.0,0.0,0.0,0.0,1349,1001,251,0
11,0.0,0.0,0.0,0.0,1492,1349,29,0
12,0.0,0.0,0.0,0.0,1902,1492,75,0
13,0.0001953125,0.0,0.0,0.0,4664,1902,1538,0
14,1.7741015624999998,0.0,1.953125e-05,0.0,8499,4659,4468,0
15,1.953125e-05,0.00015625,0.0016796875000000006,0.0,4444,8482,7051,0
16,0.0,0.0,0.003437500000000001,0.0,1552,2936,7078,4620
17,0.0,0.0,0.0,0.0,645,1552,1013,409
18,0.0,0.0,0.0,0.0,622,645,327,194
19,0.0,0.0,0.0,0.0,513,622,32,26
20,0.0,0.0,0.0,0.0,278,513,64,44
21,0.0,0.0,0.0,0.0,209,278,90,46
22,0.0,0.0,0.0,0.0,251,209,113,61
23,0.0,0.0,0.0,0.0,561,251,1325,761
24,0.0,0.0,0.0,0.0,703,561,1187,734
25,0.0,0.0,0.0,0.0,704,703,182,113
26,0.0,0.0,0.0,0.0,1315,704,553,251
27,0.0,0.0,0.0,0.0,1743,1315,107,29
28,3.90625e-05,0.0,0.0,0.0,2402,1743,219,75
29,9.765625e-05,0.0,0.0,0.0,3308,2401,2572,1538
30,0.00017578125,0.0,0.0035546875000000014,0.0,4218,3303,6203,4468
31,0.0,0.0,4.625390625000027,0.0,2936,4206,10529,7010
32,0.0,0.0,2.210859375,0.00031250000000000006,6205,4851,9519,7078
33,0.0,0.001484375,0.0,0.0,4966,6205,2756,1013
34,0.0,0.00015625,0.0,0.0,953,4966,1654,327
35,0.0,0.0,0.0,0.0,847,953,54,32
36,0.0,0.0,0.0,0.0,731,847,67,64
37,0.0,0.0,0.0,0.0,561,731,213,90
38,0.0,0.0,0.0,0.0,492,561,205,113
39,0.0,0.0,0.0,0.0,433,492,1752,1325
40,0.0,0.0,0.0,0.0,410,433,1433,1187
41,0.0,0.0,0.0,0.0,428,410,258,182
42,0.0,0.0,0.0,0.0,643,428,655,553
43,0.0,0.0,0.0,0.0,995,643,209,107
44,0.0,0.0,0.0,0.0,1942,995,284,219
45,1.953125e-05,0.0,3.90625e-05,0.0,2464,1942,3241,2572
46,0.00027343749999999997,0.0,0.29384765624999987,0.00013671875,3200,2464,7199,6203
47,0.0,0.0,9.182246093750008,3.90625e-05,4851,3190,13592,10401
48,0.2730664062499999,0.0001953125,5.544902343749999,0.01021484374999999,11537,8109,11479,9519
49,0.01736328124999995,2.5839648437499987,0.0,0.0,10594,11541,4123,2756
50,0.0,4.671113281250006,0.0,0.0,2953,10710,2826,1654
51,0.0,5.859375e-05,0.0,0.0,1354,2953,128,54
52,0.0,0.0,0.0,0.0,1251,1354,71,67
53,0.0,0.0,0.0,0.0,929,1251,443,213
54,0.0,0.0,0.0,0.0,818,929,298,205
55,0.0,0.0,0.0,0.0,683,818,2144,1752
56,0.0,0.0,0.0,0.0,622,683,1665,1433
57,0.0,0.0,0.0,0.0,653,622,314,258
58,0.0,0.0,0.0,0.0,907,653,688,655
59,0.0,0.0,0.0,0.0,1119,907,271,209
60,5.859375e-05,0.0,0.0,0.0,4034,1119,517,284
61,0.0004492187500000001,0.0,5.859375e-05,0.0,4914,4033,4371,3241
62,0.00033203125,0.0,0.5594140624999994,0.002734375000000001,4696,4911,7633,7199
63,0.0017968750000000003,0.0,8.6481640625,0.012128906250000003,8110,4686,16120,13408
64,0.019003906249999983,0.0546484375,0.04619140625000002,2.532871093749999,10517,9403,10294,11478
65,0.0051171874999999985,2.7628320312500003,0.0,1.953125e-05,8954,10518,3589,4123
66,0.0,1.4262890625,0.0,0.0,3545,8956,2246,2826
67,0.0,0.0,0.0,0.0,2602,3545,70,128
68,0.0,0.0,0.0,0.0,1858,2602,166,71
69,0.0,0.0,0.0,0.0,1338,1858,565,443
70,0.0,0.0,0.0,0.0,1361,1338,237,298
